"annotation_id","annotator","choice","created_at","id","image","lead_time","updated_at"
1,"1","Buildings","2026-09-04T07:36:04.799835Z",1,"/data/upload/5/4981b5f8-0.jpg",14.389,"2026-09-04T07:36:04.799877Z"
2,"1","Sea","2026-09-04T07:36:37.003396Z",2,"/data/upload/5/74bf7472-1.jpg",23.232,"2026-09-04T08:10:51.108732Z"
3,"1","Street","2026-09-04T07:42:09.505624Z",3,"/data/upload/5/8a8deea4-2.jpg",330.008,"2026-09-04T07:42:09.505688Z"
4,"1","Buildings","2026-09-04T07:42:21.555749Z",4,"/data/upload/5/41cd36c4-4.jpg",8.807,"2026-09-04T07:42:21.555798Z"
5,"1","Sea","2026-09-04T07:42:35.390648Z",5,"/data/upload/5/6e2148d6-7.jpg",9.022,"2026-09-04T07:42:35.390693Z"
6,"1","Forest","2026-09-04T07:42:49.015228Z",6,"/data/upload/5/28bc80cf-8.jpg",11.543,"2026-09-04T07:42:49.015272Z"
7,"1","Street","2026-09-04T07:43:04.159307Z",7,"/data/upload/5/ba571350-9.jpg",12.483,"2026-09-04T07:43:04.159352Z"
8,"1","Glacier","2026-09-04T07:43:25.234708Z",8,"/data/upload/5/4f8eda0a-10.jpg",14.432,"2026-09-04T07:43:25.234754Z"
9,"1","Street","2026-09-04T07:43:35.220415Z",9,"/data/upload/5/580afa62-12.jpg",6.11,"2026-09-04T07:43:35.220465Z"
10,"1","Glacier","2026-09-04T07:43:47.763337Z",10,"/data/upload/5/fa88deb8-13.jpg",6.766,"2026-09-04T07:43:47.763381Z"
151,"1","Mountain","2026-09-04T15:11:40.130032Z",11,"/data/upload/5/6de3b256-15.jpg",930.616,"2026-09-04T15:11:40.130055Z"
152,"1","Forest","2026-09-04T15:11:46.852576Z",12,"/data/upload/5/b821da1d-16.jpg",19.773,"2026-09-04T15:11:46.852599Z"
153,"1","Forest","2026-09-04T15:16:56.191739Z",13,"/data/upload/5/fa3c8caa-17.jpg",46.383,"2026-09-04T15:16:56.191764Z"
14,"1","Glacier","2026-09-04T08:17:39.458343Z",14,"/data/upload/5/eb553f7f-18.jpg",7.298,"2026-09-04T08:17:39.458387Z"
15,"1","Buildings","2026-09-04T08:19:54.957848Z",15,"/data/upload/5/fe9ae206-19.jpg",134.84,"2026-09-04T08:19:54.957894Z"
16,"1","Sea","2026-09-04T08:20:02.332439Z",16,"/data/upload/5/99f901eb-20.jpg",6.636,"2026-09-04T08:20:02.332505Z"
